Taxa,unclassified,total,unclassified_percent,database,method,dataset,method_dataset,name
HsapMB446,35973000,214226993,16.79200156,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00851106.PB.G1.P3_RevioSPRQ_s4.SW.C09
HsapMB536,113459999,199136995,56.97585172,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00851106.PB.G1.P3_Vega.SW.C09
HsapMB536,35620000,199136987,17.88718436,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00851106.PB.G1.P3_Vega.SW.C09
HsapMB443,69130000,125216998,55.20815952,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00863048.PB.G1.P3_RevioSPRQ_s4.SW.A09
HsapMB443,19028999,125216992,15.1968185,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00863048.PB.G1.P3_RevioSPRQ_s4.SW.A09
HsapMB533,67350000,120780000,55.76254347,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00863048.PB.G1.P3_Vega.SW.A09
HsapMB533,19375000,120780000,16.04156317,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00863048.PB.G1.P3_Vega.SW.A09
HsapMB448,105667999,213309988,49.53729546,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00929817.PB.G1.P3_RevioSPRQ_s4.SW.E09
HsapMB448,40314000,213309992,18.89925531,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00929817.PB.G1.P3_RevioSPRQ_s4.SW.E09
HsapMB538,98504999,195460990,50.3962448,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00929817.PB.G1.P3_Vega.SW.E09
HsapMB538,38287999,195460988,19.58856312,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00929817.PB.G1.P3_Vega.SW.E09
HsapMB449,52194999,86473991,60.35918823,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00936043.PB.G1.P3_RevioSPRQ_s4.SW.F09
HsapMB449,22232999,86473994,25.71061885,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00936043.PB.G1.P3_RevioSPRQ_s4.SW.F09
HsapMB539,49380000,81366994,60.68799838,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00936043.PB.G1.P3_Vega.SW.F09
HsapMB539,21788000,81366993,26.77744279,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00936043.PB.G1.P3_Vega.SW.F09
HsapMB450,102037000,229237998,44.51138157,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00259882.PB.G1.P3_RevioSPRQ_s4.SW.G09
HsapMB450,21745000,229237997,9.485774734,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00259882.PB.G1.P3_RevioSPRQ_s4.SW.G09
