HSAP_FILTER,GROUP,SUBSET_GROUP,ASSEMBLY_METHOD,DATA_TYPE,Completeness,Contamination,Contig_Number,Avg_Depth,Coding_Density,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,closest_placement_ani,closest_placement_af,Complete,High-Quality+F:R,best_include,difference_percent_cMAG,difference_percent_hqMAG,30Gb,hybrid,Total_bases,Mb,data_size_Gb,Read_length_N50,Median_read_quality,Number_of_reads,data_avail_PB_ONT
YES,B1,ALL,metamdbg,HYBRID,6255.389999999998,73.60999999999997,210,9609,56.70099999999998,21022.456043100003,189920010,29.869999999999994,170242,6079.140000000002,51.26000000000001,25,51,0,,,0,1,38893957623,38894,38.894,7421,24,7139034,1
YES,B2,ALL,metaflye,HYBRID,183.75,0.8,7,120,1.715,649.3887042,5330947,0.9,4680,193.22,1.62,0,1,0,,,0,1,1294669383,1295,1.295,7280,22,514406,0
YES,B2,ALL,metaflye,ont,1257.0300000000002,10.940000000000001,53,592,11.069,4130.2552258000005,38968795,5.820000000000001,34978,1268.72,11.53,5,11,0,,,0,0,,,,,,,
YES,B2,ALL,metamdbg,HYBRID,584.1,9.17,36,189,5.0760000000000005,1994.5187270000001,16274516,2.77,13856,583.5799999999999,5.32,3,4,0,,,0,1,1294669383,1295,1.295,7280,22,514406,0
YES,B3,ALL,metaflye,HYBRID,3343.2599999999998,42.269999999999996,219,1826,31.423,11675.895391999999,106072678,16.400000000000002,94617,3267.890000000001,27.320000000000004,9,25,0,,,0,1,12265889667,12266,12.266,9978,35,1592942,1
YES,B3,ALL,metamdbg,HYBRID,4333.119999999998,62.559999999999995,243,3010,39.466,14759.284375599998,139999532,20.439999999999998,124036,4234.2,35.830000000000005,21,38,0,,,0,1,12265889667,12266,12.266,9978,35,1592942,1
YES,B4,ALL,metaflye,HYBRID,5768.7699999999995,75.93000000000002,269,6010,51.86399999999999,19950.207737599994,178410282,26.559999999999995,154122,5608.469999999999,49.18000000000001,13,47,0,,,0,1,28616937033,28617,28.617,8760,38,3961083,1
YES,B4,ALL,metamdbg,HYBRID,6172.589999999998,73.77,243,5400,56.326000000000015,21606.24572,187587529,28.39,162035,5901.689999999999,51.89999999999999,27,49,0,,,0,1,28616937033,28617,28.617,8760,38,3961083,1
YES,B5,ALL,metaflye,HYBRID,3626.7400000000002,24.399999999999995,178,2191,33.209999999999994,12467.878379900001,103069907,17.390000000000004,91591,3560.56,31.120000000000005,12,30,0,,,0,1,17586053290,17586,17.586,7861,37,2689087,1
YES,B5,ALL,metamdbg,HYBRID,4279.0999999999985,62.92000000000001,207,3685,40.246000000000016,15070.1632,128410785,20.640000000000004,113887,4143.090000000001,35.59,15,29,0,,,0,1,17586053290,17586,17.586,7861,37,2689087,1
YES,B6,ALL,metaflye,HYBRID,2961.4799999999987,34.540000000000006,95,6203,26.981000000000005,10214.378278999999,92974251,13.38,81354,2691.4,23.06,14,23,0,,,0,1,26865890867,26866,26.866,12366,21,3789351,1
YES,B6,ALL,metamdbg,HYBRID,5881.280000000001,119.35000000000001,291,5991,54.047,19948.156416200007,174875139,27.440000000000005,157566,5051.92,42.940000000000005,22,40,0,,,0,1,26865890867,26866,26.866,12366,21,3789351,1
YES,C1,ALL,metaflye,HYBRID,1734.6100000000001,10.989999999999998,45,1343,15.577000000000002,6056.572928999999,48451835,8.89,41352,1642.3,14.41,11,15,0,,,0,1,12379489571,12379,12.379,8743,28,1951416,1
YES,C1,ALL,metamdbg,HYBRID,2120.03,27.86,43,2670,19.075000000000003,7374.787501700001,61637913,10.719999999999997,52905,2025.3700000000003,17.11,16,16,0,,,0,1,12379489571,12379,12.379,8743,28,1951416,1
YES,C2,ALL,metaflye,HYBRID,942.3399999999999,13.529999999999998,63,803,8.575,3354.1340478999996,24705845,5.27,21086,858.72,7.42,4,7,0,,,0,1,7032923992,7033,7.033,6354,22,2676273,1
YES,C2,ALL,metamdbg,HYBRID,1432.0300000000002,19.91,63,1543,12.908000000000001,5073.478242,41740031,7.930000000000001,35349,1340.06,11.039999999999997,8,12,0,,,0,1,7032923992,7033,7.033,6354,22,2676273,1
YES,C3,ALL,metaflye,HYBRID,199.59,1.4,2,73,1.7189999999999999,648.3056598000001,4543198,1.05,4010,95.94,0.88,2,2,0,,,0,1,1802762717,1803,1.803,8111,22,373554,1
YES,C3,ALL,metamdbg,HYBRID,499.46,9.83,20,176,4.251,1624.521696,13714052,2.49,11953,375.13,3.32,2,4,0,,,0,1,1802762717,1803,1.803,8111,22,373554,1
YES,C4,ALL,metaflye,HYBRID,6870.849999999998,77.47999999999999,420,4454,64.107,24104.665782800002,199865912,33.24000000000001,176177,6357.73,55.12000000000002,23,57,0,,,0,1,26947760055,26948,26.948,7212,31,5443518,1
YES,C4,ALL,metamdbg,HYBRID,8941.809999999998,131.65,451,5700,82.61400000000003,31146.133222199995,271340963,42.80000000000001,238495,8402.650000000001,72.94000000000001,44,76,0,,,0,1,26947760055,26948,26.948,7212,31,5443518,1
YES,C5,ALL,metaflye,HYBRID,3084.090000000001,28.77,138,1191,27.837999999999997,10881.739957100002,101146431,14.719999999999999,85893,3084.229999999999,26.63,10,27,0,,,0,1,5746402401,5746,5.746,9692,33,930895,1
YES,C5,ALL,metamdbg,HYBRID,2996.3900000000003,42.81999999999999,169,1126,27.982000000000006,10703.7876,96871220,14.639999999999999,83822,3067.0299999999993,25.449999999999996,9,20,0,,,0,1,5746402401,5746,5.746,9692,33,930895,1
YES,C6,ALL,metaflye,HYBRID,90.63,0.7,1,31,0.889,372.1343402,1577395,0.35,1258,97.35,0.94,1,1,0,,,0,1,952162855,952,0.952,4522,22,535169,0
YES,C6,ALL,metaflye,ont,1105.17,12.78,103,283,10.282,4031.7135894999997,32237081,5.59,27478,1165.6499999999999,10.149999999999999,0,7,0,,,0,0,,,,,,,
YES,C6,ALL,metamdbg,HYBRID,344.33,5.46,38,66,3.401,1363.062086,8266522,1.8199999999999998,6933,388.47999999999996,3.41,0,2,0,,,0,1,952162855,952,0.952,4522,22,535169,0
YES,D1,ALL,metaflye,HYBRID,1791.5300000000002,16.779999999999998,37,2285,15.719000000000001,6142.449732200001,72069280,9.41,60921,1757.8299999999997,15.09,10,18,0,,,0,1,9990750187,9991,9.991,8157,25,2092136,1
YES,D1,ALL,metamdbg,HYBRID,1966.4499999999998,18.499999999999996,47,2367,17.451999999999998,6750.320949,77414588,10.459999999999999,65986,1949.2999999999997,16.79,13,19,0,,,0,1,9990750187,9991,9.991,8157,25,2092136,1
YES,D2,ALL,metaflye,HYBRID,3135.5300000000007,22.830000000000005,123,3134,27.939000000000004,10390.986231799998,99998628,16.44,89679,3018.620000000001,26.89,16,30,0,,,0,1,13565788713,13566,13.566,8705,24,2273326,1
YES,D2,ALL,metamdbg,HYBRID,3246.98,44.7,78,3499,28.840000000000007,10729.47675,105686135,16.7,94712,3113.62,27.37,21,31,0,,,0,1,13565788713,13566,13.566,8705,24,2273326,1
YES,D3,ALL,metaflye,HYBRID,4820.379999999999,44.040000000000006,190,5001,42.669999999999995,16466.10958,168745155,24.89000000000001,144946,4574.9400000000005,39.97,27,46,0,,,0,1,21110863769,21111,21.111,10383,36,2856508,1
YES,D3,ALL,metamdbg,HYBRID,5556.519999999999,77.32999999999998,208,5275,49.64500000000002,18938.656075299994,194747353,28.930000000000003,169285,5245.19,45.57999999999999,33,50,0,,,0,1,21110863769,21111,21.111,10383,36,2856508,1
YES,D4,ALL,metaflye,HYBRID,3887.6999999999994,38.440000000000005,161,2966,34.794,13314.844695300004,130658359,20.860000000000003,113855,3774.08,32.73,15,34,0,,,0,1,16596852357,16597,16.597,8763,28,2792720,1
YES,D4,ALL,metamdbg,HYBRID,4129.949999999999,48.86,96,3596,36.51399999999999,13904.850543400005,138240770,21.990000000000002,121192,4068.7300000000005,34.84000000000001,28,39,0,,,0,1,16596852357,16597,16.597,8763,28,2792720,1
YES,D5,ALL,metaflye,HYBRID,13112.19999999999,164.32000000000005,461,13835,119.13699999999999,44762.966088599984,395053364,65.02000000000001,350569,12737.779999999995,110.90999999999997,66,115,0,,,0,1,69816267384,69816,69.816,8720,30,10225388,1
YES,D5,ALL,metaflye,ont,13702.699999999995,213.68000000000006,881,18232,126.55800000000005,46586.67391659998,398979807,68.85,361290,13692.329999999998,118.46000000000001,43,107,0,,,0,0,1.03E+11,102663,103,9052,16,28059781,1
YES,D5,ALL,metaflye,pb,13506.069999999994,154.86000000000004,578,9455,123.42699999999996,46260.51672969997,400346439,67.27000000000002,355523,13218.929999999998,114.50000000000007,62,117,0,,,0,0,48641553826,48642,49,8350,38,6737853,1
YES,D5,ALL,metamdbg,HYBRID,15418.389999999992,215.3499999999999,572,19378,140.84900000000005,52774.651689499995,458397000,76.78999999999998,407851,15126.169999999987,130.17999999999998,85,135,0,,,0,1,69816267384,69816,69.816,8720,30,10225388,1
YES,D5,ALL,metamdbg,ont,8346.869999999999,141.21000000000004,509,14651,78.81300000000002,29255.188726499997,246216682,42.46000000000001,220057,8207.29,69.89999999999999,29,60,0,,,0,0,1.03E+11,102663,103,9052,16,28059781,1
YES,D5,ALL,metamdbg,pb,13310.05999999999,170.27999999999992,453,13962,120.73999999999998,45237.32414419999,393662474,66.33,350482,12820.009999999995,111.39000000000003,75,120,0,,,0,0,48641553826,48642,49,8350,38,6737853,1
YES,D5,SUB_01G,metaflye,ont,392.72999999999996,3.0700000000000003,19,132,3.516,1349.729093,12032824,1.61,10357,390.25,3.45,1,4,1,,,1,0,1000027971,1000,1,9102,16,272653,1
YES,D5,SUB_01G,metaflye,pb,687.23,2.1999999999999997,55,195,6.163,2393.097285,25423094,2.92,21721,679.79,5.74,3,7,0,,,1,0,1000002893,1000,1,8332,38,138631,1
YES,D5,SUB_01G,metamdbg,pb,683.78,2.0999999999999996,51,197,6.165,2390.76202,25804082,2.92,22046,679.76,5.73,3,6,1,3,1.5,1,0,1000002893,1000,1,8332,38,138631,1
YES,D5,SUB_01G,metamdbg,ont,,,,,,,,,,,,,,0,,,1,0,1000027971,1000,1,9102,16,272653,1
YES,D5,SUB_05G,metaflye,ont,2037.3799999999997,39.48,192,887,19.005000000000003,6868.084869,65473778,9.909999999999998,59901,2023.51,17.09,5,14,1,,,1,0,5000019054,5000,5,9015,16,1369776,1
YES,D5,SUB_05G,metaflye,pb,3024.27,23.92,227,1204,27.912000000000003,10543.91144,93734868,15.01,82144,2897.15,25.070000000000007,7,26,0,,,1,0,5000000386,5000,5,8358,38,692168,1
YES,D5,SUB_05G,metamdbg,ont,380.96999999999997,4.2,20,616,3.534,1360.733415,13183167,1.57,11269,394,3.45,1,3,0,,,1,0,5000019054,5000,5,9015,16,1369776,1
YES,D5,SUB_05G,metamdbg,pb,3087.7299999999996,51.28,192,1214,27.954000000000004,10653.144744700003,98966550,15.040000000000003,86185,2888.8199999999993,24.94,13,25,1,2.6,1.785714286,1,0,5000000386,5000,5,8358,38,692168,1
YES,D5,SUB_10G,metaflye,ont,3958.8199999999997,83.52000000000001,368,1486,37.14,13123.353344999998,116422976,20.44,109801,4030.08,35.07999999999999,9,23,1,,,1,0,10000007075,10000,10,9051,16,2733519,1
YES,D5,SUB_10G,metaflye,pb,5556.29,64.83,377,2637,50.857000000000006,19173.701865300005,172070983,27.289999999999996,151574,5285.390000000001,45.669999999999995,19,47,0,,,1,0,10000006836,10000,10,8355,38,1384720,1
YES,D5,SUB_10G,metamdbg,ont,980.3899999999999,28.299999999999997,64,1129,8.688,3298.1194428999997,32219857,4,27965,872.4499999999999,7.46,5,7,0,,,1,0,10000007075,10000,10,9051,16,2733519,1
YES,D5,SUB_10G,metamdbg,pb,5601.559999999999,85.30000000000001,307,2635,51.73200000000003,19452.151973600005,168981449,27.709999999999997,149694,5381.69,46,24,47,1,2.666666667,2.043478261,1,0,10000006836,10000,10,8355,38,1384720,1
YES,D5,SUB_20G,metaflye,ont,6925.220000000001,136.34000000000006,537,3832,64.349,23331.999565400005,206377303,35.259999999999984,189087,6644.8,57.529999999999994,15,48,1,,,1,0,20000016029,20000,20,9037,16,5469320,1
YES,D5,SUB_20G,metaflye,pb,8876.709999999997,105.35,476,5525,80.66200000000002,30242.161695800005,263029328,43.58999999999999,233290,8488.299999999997,74.11,30,80,0,,,1,0,20000009127,20000,20,8350,38,2770442,1
YES,D5,SUB_20G,metamdbg,ont,2235.69,34.71,127,2939,20.027,7447.853763,66294504,10.68,58984,2131.65,18.18,10,20,0,,,1,0,20000016029,20000,20,9037,16,5469320,1
YES,D5,SUB_20G,metamdbg,pb,9279.929999999998,136.21999999999997,432,5589,84.98799999999996,31816.59660279999,278111712,45.849999999999994,247212,8981.939999999999,78.02000000000002,46,79,1,3.066666667,1.645833333,1,0,20000009127,20000,20,8350,38,2770442,1
YES,D5,SUB_30G,metaflye,ont,8930.41,142.44999999999996,628,5126,82.832,30142.772793900003,257681006,44.84,235706,8682.989999999998,76.32000000000002,25,64,1,,,1,0,30000011708,30000,30,9062,16,8194280,1
YES,D5,SUB_30G,metaflye,pb,10347.739999999996,127.24,473,7946,93.89300000000003,35200.43756,307043418,50.73000000000002,272623,9944.799999999997,86.78,40,92,0,,,1,0,30000011753,30000,30,8353,38,4155010,1
YES,D5,SUB_30G,metamdbg,ont,2578.6000000000004,49.35999999999999,140,3249,23.559,8696.061621,79686999,12.489999999999998,71767,2414.18,20.63,10,23,0,,,1,0,30000011708,30000,30,9062,16,8194280,1
YES,D5,SUB_30G,metamdbg,pb,10943.339999999995,152.52,425,8536,99.72000000000004,37235.707404699984,329065424,54.620000000000005,293913,10324.34,90.08000000000001,64,90,1,2.56,1.40625,1,0,30000011753,30000,30,8353,38,4155010,1
YES,D5,SUB_40G,metaflye,ont,9952.829999999994,154.68000000000004,638,8175,91.34299999999999,33566.75332249999,288817147,50.24999999999999,261963,9754.19,84.78999999999996,22,79,1,,,0,0,40000001039,40000,40,9054,16,10932847,1
YES,D5,SUB_40G,metaflye,pb,12854.169999999984,168.81999999999996,588,7747,116.40900000000002,43632.625332999996,383473871,63.90000000000003,340775,12444.870000000003,108.34999999999997,50,117,0,,,0,0,40000000652,40000,40,8351,38,5539529,1
YES,D5,SUB_40G,metamdbg,ont,4424.239999999998,86.42000000000003,250,5575,41.12499999999999,15228.306355800001,133297403,21.97,119507,4208.469999999999,34.96,20,32,0,,,0,0,40000001039,40000,40,9054,16,10932847,1
YES,D5,SUB_40G,metamdbg,pb,12441.529999999993,143.03999999999996,432,11494,112.84900000000003,42287.367881999984,368676428,61.93000000000001,328316,11956.649999999996,104.19000000000001,74,110,1,3.363636364,1.392405063,0,0,40000000652,40000,40,8351,38,5539529,1
YES,E1,ALL,metaflye,HYBRID,1044.8,6.660000000000001,83,423,9.460999999999999,3658.1223330999997,33589714,5.0200000000000005,28851,1067.97,9.150000000000002,0,8,0,,,0,1,2601996763,2602,2.602,3735,22,1485605,1
YES,E1,ALL,metamdbg,HYBRID,1638.87,11.91,130,509,14.770999999999999,5718.541621,52501941,7.800000000000002,44981,1641.9399999999998,14.010000000000002,1,14,0,,,0,1,2601996763,2602,2.602,3735,22,1485605,1
YES,E2,ALL,metaflye,HYBRID,1445.0200000000002,8.49,87,443,13.113,5059.376155,45518180,6.7700000000000005,39124,1454.1499999999999,12.55,4,12,0,,,0,1,2921456509,2921,2.921,13942,22,336765,1
YES,E2,ALL,metamdbg,HYBRID,2605.619999999999,41.67000000000001,143,493,24.430000000000003,9043.927669,72822123,12.299999999999999,64724,2431.28,21.210000000000004,10,18,0,,,0,1,2921456509,2921,2.921,13942,22,336765,1
YES,E3,ALL,metaflye,HYBRID,4955.2,48.169999999999995,260,2108,45.53000000000001,16826.563365500006,135805062,21.200000000000003,121718,4693.979999999998,41.62999999999999,19,46,0,,,0,1,10137690087,10138,10.138,10606,24,1824418,1
YES,E3,ALL,metamdbg,HYBRID,5284.669999999999,66.65,213,2582,48.260000000000005,18039.641997800005,150522931,22.41,133170,4992.360000000001,43.959999999999994,28,46,0,,,0,1,10137690087,10138,10.138,10606,24,1824418,1
YES,E4,ALL,metaflye,HYBRID,12940.869999999995,158.82000000000002,647,6301,122.25799999999997,44392.454408300015,296270400,55.090000000000046,267186,11699.49,102.46000000000004,54,105,0,,,0,1,28922220319,28922,28.922,7341,22,7005955,1
YES,E4,ALL,metamdbg,HYBRID,15626.329999999985,247.29999999999995,594,7694,145.27999999999994,53305.33705369999,385791862,68.06000000000004,345398,13246.9,116.14000000000009,82,133,0,,,0,1,28922220319,28922,28.922,7341,22,7005955,1
YES,E5,ALL,metaflye,HYBRID,5317.459999999998,49.510000000000005,175,5054,47.898999999999994,18048.802994899994,166884528,24.31,146891,4896.879999999999,41.68,28,46,0,,,0,1,26491943355,26492,26.492,12163,34,2769195,1
YES,E5,ALL,metamdbg,HYBRID,5672.839999999998,61.91000000000001,205,3745,51.514,19029.963590299998,168491303,25.909999999999997,150556,5169.329999999997,43.67,35,50,0,,,0,1,26491943355,26492,26.492,12163,34,2769195,1
YES,E6,ALL,metaflye,HYBRID,4346.83,40.78,155,4822,38.292,14967.22738,134882413,20.2,114496,4161.59,36.96,22,42,0,,,0,1,21238094318,21238,21.238,8142,25,3224463,1
YES,E6,ALL,metamdbg,HYBRID,4991.399999999999,65,158,4427,44.445,17280.995941000005,150561040,23.799999999999997,128915,4717.829999999998,41.86999999999999,26,46,0,,,0,1,21238094318,21238,21.238,8142,25,3224463,1
YES,F1,ALL,metaflye,HYBRID,1833.14,32.379999999999995,75,1306,16.442,6121.841241,60793945,9.239999999999998,54741,1848.26,15.73,12,16,0,,,0,1,5489076870,5489,5.489,11541,33,640302,1
YES,F1,ALL,metamdbg,HYBRID,1829.21,27.080000000000005,45,1343,16.43,6115.903580699999,61638630,9.239999999999997,55515,1847.0200000000002,15.66,13,15,0,,,0,1,5489076870,5489,5.489,11541,33,640302,1
YES,F2,ALL,metaflye,HYBRID,1164.8400000000001,16.790000000000003,76,1784,10.449,4124.931356,44890600,6.119999999999999,37796,1170.49,10.36,4,11,0,,,0,1,10159185030,10159,10.159,6123,21,3197929,1
YES,F2,ALL,metamdbg,HYBRID,2241.39,30.610000000000003,97,2239,19.957,7726.098006,74973146,12.2,64259,2233.3099999999995,19.57,12,22,0,,,0,1,10159185030,10159,10.159,6123,21,3197929,1
YES,F3,ALL,metaflye,HYBRID,1466.69,8.930000000000001,44,1567,12.886,4970.4158757999985,46806517,7.929999999999999,40718,1366.7800000000002,12.02,9,14,0,,,0,1,6512028048,6512,6.512,8587,22,1466697,1
YES,F3,ALL,metamdbg,HYBRID,2317.51,16.39,89,1886,20.729000000000006,7868.862265299999,69892313,12.35,61385,2138.35,18.7,15,20,0,,,0,1,6512028048,6512,6.512,8587,22,1466697,1
YES,F4,ALL,metaflye,HYBRID,2084.69,21.02,79,2930,19.001,7290.895299700001,63032051,11.149999999999997,54998,1944.2000000000003,16.830000000000002,13,16,0,,,0,1,15935362446,15935,15.935,10554,36,1956779,1
YES,F4,ALL,metamdbg,HYBRID,2101.27,20,42,3765,19.079,7320.955081,65102646,11.359999999999998,56907,1940.2000000000003,16.769999999999996,14,17,0,,,0,1,15935362446,15935,15.935,10554,36,1956779,1
YES,F5,ALL,metaflye,HYBRID,1553.69,15.540000000000001,84,633,13.829,5430.708566,55620939,7.92,46977,1462.5,12.96,3,14,0,,,0,1,5382421962,5382,5.382,7591,38,769618,1
YES,F5,ALL,metamdbg,HYBRID,2059.95,31.949999999999996,94,1264,18.233000000000004,7212.987088100001,78494195,10.129999999999999,65836,1943.32,16.53,12,19,0,,,0,1,5382421962,5382,5.382,7591,38,769618,1
YES,F6,ALL,metaflye,HYBRID,771.78,8.28,39,1943,6.995999999999999,2605.9432878999996,20215548,3.6399999999999997,17932,778.73,6.770000000000001,4,6,0,,,0,1,8164400882,8164,8.164,9953,21,1243088,1
YES,F6,ALL,metamdbg,HYBRID,1410.5699999999997,6,51,2314,13.044,4898.219789000001,38285881,7.599999999999999,34156,1259.0900000000001,10.799999999999999,7,10,0,,,0,1,8164400882,8164,8.164,9953,21,1243088,1
YES,G1,ALL,metaflye,HYBRID,2206.42,31.57,129,1270,19.933,7262.266423299999,61384241,10.510000000000002,56032,2222.59,19.310000000000002,10,17,0,,,0,1,9001837420,9002,9.002,10886,37,969536,1
YES,G1,ALL,metamdbg,HYBRID,2361.08,19.150000000000002,74,2020,20.87400000000001,7671.486319999999,71771979,10.75,64871,2320.72,20.17,15,22,0,,,0,1,9001837420,9002,9.002,10886,37,969536,1
YES,G2,ALL,metaflye,HYBRID,1625.8,9.559999999999999,59,2150,14.713000000000001,5501.856543,49632981,7.880000000000001,44110,1448.89,12.06,6,15,0,,,0,1,9424693205,9425,9.425,11204,33,1150070,1
YES,G2,ALL,metamdbg,HYBRID,1832.0600000000002,18.11,53,2152,16.421,6081.511244,59093314,8.950000000000001,53018,1541.7200000000003,12.73,11,15,0,,,0,1,9424693205,9425,9.425,11204,33,1150070,1
YES,G3,ALL,metaflye,HYBRID,1306.44,13.379999999999999,90,2345,12.151000000000002,4585.027599700001,39020942,6.48,34677,1260.7099999999998,10.81,6,9,0,,,0,1,16897701531,16898,16.898,8126,35,2511925,1
YES,G3,ALL,metamdbg,HYBRID,1772.1899999999998,17.939999999999998,81,3452,15.639000000000001,5881.022764700001,56853853,8.249999999999998,50364,1743.3299999999997,14.680000000000001,10,16,0,,,0,1,16897701531,16898,16.898,8126,35,2511925,1
YES,G4,ALL,metaflye,HYBRID,7092.92,89.11999999999999,404,6488,65.34199999999998,24458.937060799988,217802386,35.33,193828,6941.25,58.479999999999976,21,57,0,,,0,1,45210219749,45210,45.21,9380,35,6222056,1
YES,G4,ALL,metamdbg,HYBRID,7886.530000000001,120.79,318,9653,72.584,27358.596701599996,254417740,37.640000000000015,224504,7810.58,65.72999999999996,36,62,0,,,0,1,45210219749,45210,45.21,9380,35,6222056,1
YES,G5,ALL,metaflye,HYBRID,6169.48,63.690000000000005,220,4612,56.02800000000001,20927.483929599995,179005898,28.219999999999995,158497,5919.089999999999,50.01000000000001,28,55,0,,,0,1,16555566257,16556,16.556,10962,26,2317615,1
YES,G5,ALL,metamdbg,HYBRID,6856.689999999999,74.06,292,4358,62.22099999999999,23158.15696,196886028,31.379999999999995,175046,6523.1900000000005,55.98,33,62,0,,,0,1,16555566257,16556,16.556,10962,26,2317615,1
YES,G6,ALL,metaflye,HYBRID,1092.7900000000002,12.200000000000001,59,458,9.513,3700.8221780999997,39295697,5.33,33658,863.3600000000001,6.8500000000000005,3,11,0,,,0,1,2899553558,2900,2.9,8694,21,514915,1
YES,G6,ALL,metamdbg,HYBRID,1077.4900000000002,11.899999999999999,23,437,9.533000000000001,3579.772653,35143968,5.1899999999999995,30960,769.3799999999999,6.200000000000001,7,10,0,,,0,1,2899553558,2900,2.9,8694,21,514915,1
YES,H1,ALL,metaflye,HYBRID,1706.49,15.02,75,1428,15.615000000000004,5871.50646,51664160,9.28,45726,1544.01,13.09,9,13,0,,,0,1,12607172441,12607,12.607,9715,38,1478827,1
YES,H1,ALL,metamdbg,HYBRID,2027.9999999999998,12.760000000000002,72,2541,18.181,6877.988761,63171899,10.65,55533,1736.85,14.669999999999998,11,18,0,,,0,1,12607172441,12607,12.607,9715,38,1478827,1
YES,H2,ALL,metaflye,HYBRID,1546.31,22.68,102,832,13.792,5341.309839299999,45533360,8.68,39387,1450.82,12.339999999999998,6,14,0,,,0,1,4137884827,4138,4.138,12263,31,530376,1
YES,H2,ALL,metamdbg,HYBRID,1748.16,25.389999999999993,56,827,15.456,6004.868296,52437724,9.700000000000001,45153,1643.88,14.13,10,14,0,,,0,1,4137884827,4138,4.138,12263,31,530376,1
YES,H3,ALL,metaflye,HYBRID,578.5,1.66,44,125,5.202999999999999,1922.612894,14912216,2.69,13403,574.75,5.07,1,5,0,,,0,1,1110874791,1111,1.111,12617,24,131426,1
YES,H3,ALL,metamdbg,HYBRID,678.35,6.539999999999999,19,136,6.08,2237.634059,19746129,3.1999999999999997,17923,669.3899999999999,5.82,2,5,0,,,0,1,1110874791,1111,1.111,12617,24,131426,1
YES,H4,ALL,metaflye,HYBRID,1275.5999999999997,12.8,56,889,11.256,4188.150757,34407091,6.069999999999999,30614,1060.5400000000002,9.08,3,12,0,,,0,1,5804232480,5804,5.804,11070,37,643412,1
YES,H4,ALL,metamdbg,HYBRID,1864.3900000000006,23.57,39,1422,16.491,6172.173015,51548035,8.780000000000001,45564,1629.48,14.120000000000001,11,14,0,,,0,1,5804232480,5804,5.804,11070,37,643412,1
YES,H5,ALL,metaflye,HYBRID,782.47,8.95,72,562,7.065,2693.146585,22364910,3.91,19381,682.02,5.99,0,7,0,,,0,1,7045668138,7046,7.046,4056,21,3302588,0
YES,H5,ALL,metaflye,ont,2437.8199999999997,37.68,188,1762,22.600999999999996,8449.74647,69391047,13.209999999999999,61545,2426.080000000001,21.33,3,19,0,,,0,0,,,,,,,
YES,H5,ALL,metamdbg,HYBRID,1203.7900000000002,14.780000000000001,57,1036,11.368999999999998,4454.3028251999995,38924672,6.32,33031,1164.12,9.84,4,9,0,,,0,1,7045668138,7046,7.046,4056,21,3302588,0
YES,H6,ALL,metaflye,HYBRID,12451.879999999997,143.71000000000004,509,11835,112.731,41873.54074220002,353363345,61.310000000000024,316726,11794.189999999999,103.61000000000003,67,112,0,,,0,1,55272684364,55273,55.273,10244,33,6909573,1
YES,H6,ALL,metaflye,ont,9426.95,185.44,507,8087,87.68199999999999,31007.03659870001,274355811,46.98,261755,8682.089999999998,77.13000000000001,32,72,0,,,0,0,58040773304,58041,58,13214,16,11592461,1
YES,H6,ALL,metaflye,pb,12164.41,120.10000000000001,560,10004,111.718,41495.93498410001,343883955,60.42000000000002,307556,11795.719999999996,103.50000000000001,49,102,0,,,0,0,44169501747,44170,44,9800,36,5554527,1
YES,H6,ALL,metamdbg,HYBRID,13348.340000000002,164.79000000000005,526,12841,121.44000000000003,45065.855660300025,377620572,65.77000000000002,338533,12635.420000000002,109.60000000000002,77,110,0,,,0,1,55272684364,55273,55.273,10244,33,6909573,1
YES,H6,ALL,metamdbg,ont,4488.630000000002,97.15,253,5999,42.935999999999986,15979.845953300002,121872572,21.9,108800,4328.179999999999,36.839999999999996,18,33,0,,,0,0,58040773304,58041,58,13214,16,11592461,1
YES,H6,ALL,metamdbg,pb,12841.57,125.93,532,9699,116.20600000000005,43215.60416859999,365427930,63.28000000000003,327060,12087.159999999998,105.88000000000004,75,115,0,,,0,0,44169501747,44170,44,9800,36,5554527,1
YES,H6,SUB_01G,metaflye,ont,848.4399999999999,20.52,48,95,7.813000000000001,2762.4236404999997,25182477,3.87,23405,777.87,6.92,2,7,1,,,1,0,1000005606,1000,1,13068,16,200617,1
YES,H6,SUB_01G,metaflye,pb,878.2399999999999,6.85,37,131,7.913,2963.733422,25513153,3.85,22346,874.0400000000001,7.68,4,8,0,,,1,0,1000003209,1000,1,9814,36,125693,1
YES,H6,SUB_01G,metamdbg,ont,98.45,1.42,16,14,0.894,296.88126360000007,1825276,0.32,1836,98.69,0.87,0,1,0,,,1,0,1000005606,1000,1,13068,16,200617,1
YES,H6,SUB_01G,metamdbg,pb,787.1099999999999,16.869999999999997,26,115,7.055,2613.346382,23825984,3.4200000000000004,21008,776.66,6.67,4,6,1,2,0.857142857,1,0,1000003209,1000,1,9814,36,125693,1
YES,H6,SUB_05G,metaflye,ont,2777.18,54.52000000000001,195,594,26.769000000000002,9135.925442,83249351,14.059999999999999,82175,2789.73,24.19,5,16,1,,,1,0,5000003721,5000,5,13200,16,1000377,1
YES,H6,SUB_05G,metaflye,pb,3986.669999999999,55.760000000000005,261,857,36.63999999999999,13620.224862599996,114859531,19.150000000000006,102336,3863.389999999999,33.89,12,30,0,,,1,0,5000015514,5000,5,9804,36,628173,1
