HSAP_FILTER,GROUP,SUBSET_GROUP,ASSEMBLY_METHOD,DATA_TYPE,Completeness,Contamination,Contig_Number,Avg_Depth,Coding_Density,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,closest_placement_ani,closest_placement_af,Complete,High-Quality+F:R,best_include,difference_percent_cMAG,difference_percent_hqMAG,30Gb,hybrid,Total_bases,Mb,data_size_Gb,Read_length_N50,Median_read_quality,Number_of_reads,data_avail_PB_ONT
NO,D5,SUB_05G,metaflye,ont,2040.8600000000001,43.7,208,700,18.977,6804.455557899999,64780923,10.009999999999998,59731,2024.3500000000001,16.949999999999996,3,15,,,,0,0,,,,,,,
NO,D5,SUB_05G,metaflye,pb,2775.070000000001,33.410000000000004,187,1180,25.212999999999997,9556.812359,84570514,13.590000000000002,74080,2689.21,23.130000000000003,6,22,,,,0,0,,,,,,,
NO,D5,SUB_05G,metamdbg,ont,567.1199999999999,4.09,47,543,5.307,2024.655896,19286582,2.32,16692,486.76000000000005,4.18,2,5,,,,0,0,,,,,,,
NO,D5,SUB_05G,metamdbg,pb,2576.6199999999994,35.72,139,1175,23.484999999999996,8841.238393399999,77728569,12.56,68609,2507.7000000000007,21.35,8,20,,,,0,0,,,,,,,
NO,D5,SUB_10G,metaflye,ont,3918.919999999999,73.46000000000002,317,1472,36.394,13088.311115800003,124648336,20.09,115249,3857.379999999999,33.21,8,28,,,,0,0,,,,,,,
NO,D5,SUB_10G,metaflye,pb,5334.099999999998,52.11000000000002,312,2587,48.26000000000001,18312.18306,165698452,25.619999999999997,145136,5096.969999999999,44.16,13,49,,,,0,0,,,,,,,
NO,D5,SUB_10G,metamdbg,ont,1054.51,18.96,77,1366,9.538,3602.203382,34773358,4.819999999999999,30283,1064.1200000000001,8.98,3,10,,,,0,0,,,,,,,
NO,D5,SUB_10G,metamdbg,pb,5734.409999999999,78.91000000000001,294,2634,52.730000000000025,19978.516461400002,182316782,27.950000000000003,159703,5578.759999999999,47.94,24,48,,,,0,0,,,,,,,
NO,D5,SUB_20G,metaflye,ont,7248.399999999997,134.31,542,4127,66.975,24157.43519359999,214718312,36.48,197932,7030.550000000002,60.9,20,57,,,,0,0,,,,,,,
NO,D5,SUB_20G,metaflye,pb,8797.549999999997,116.77,497,5457,80.69100000000005,30382.71325,264291607,43.46999999999999,233333,8489.98,73.79000000000002,27,76,,,,0,0,,,,,,,
NO,D5,SUB_20G,metamdbg,ont,2030.2600000000002,28.709999999999997,96,2946,18.336000000000002,6881.727906,66184762,9.440000000000001,58314,1935.9000000000005,16.19,9,18,,,,0,0,,,,,,,
NO,D5,SUB_20G,metamdbg,pb,8814.449999999995,118.99999999999999,359,5487,80.641,30251.569921500006,262734179,43.68,233106,8485.419999999998,73.05000000000001,44,73,,,,0,0,,,,,,,
NO,D5,SUB_30G,metaflye,ont,8238.539999999999,131.46,550,6344,75.84500000000003,27774.28713,241195444,41.580000000000005,219117,8010.069999999999,69.69000000000001,22,67,,,,0,0,,,,,,,
NO,D5,SUB_30G,metaflye,pb,10768.129999999996,120.05,496,8201,98.033,36753.974163899984,322887974,53.190000000000005,286936,10424.909999999998,90.68000000000004,45,94,,,,0,0,,,,,,,
NO,D5,SUB_30G,metamdbg,ont,3452.21,73.38000000000001,171,4549,31.492000000000004,11789.189301200002,112337666,16.870000000000005,99629,3276.4,28.080000000000002,14,29,,,,0,0,,,,,,,
NO,D5,SUB_30G,metamdbg,pb,11132.999999999995,119.16,410,8527,102.3839999999999,38329.01062110001,331316011,55.91000000000001,294717,10695.370000000003,92.09000000000003,65,92,,,,0,0,,,,,,,
NO,D5,SUB_40G,metaflye,ont,10122.680000000004,176.50000000000009,659,8571,93.176,34196.45182,301112352,51.190000000000005,273020,9946.91,87.20999999999995,27,76,,,,0,0,,,,,,,
NO,D5,SUB_40G,metaflye,pb,12487.68999999999,171.68000000000004,563,7734,113.89099999999999,42743.05985109999,377890980,62.150000000000006,335504,12169.530000000004,106.19000000000001,56,108,,,,0,0,,,,,,,
NO,D5,SUB_40G,metamdbg,ont,3486.7400000000007,63.10000000000001,218,5227,32.284000000000006,12130.03207,111129869,17.000000000000004,98202,3345.8899999999994,28.39,14,27,,,,0,0,,,,,,,
NO,D5,SUB_40G,metamdbg,pb,12315.539999999997,211.79000000000002,481,11317,111.90800000000006,41803.7325,369736513,61.830000000000034,330003,11657.260000000002,101.01000000000006,64,102,,,,0,0,,,,,,,
NO,D5,SUB_ALL,metaflye,ont,13432.599999999995,208.9500000000001,894,17831,122.94999999999997,45416.672559599996,391263209,67.15999999999997,352976,13222.329999999996,115.28999999999998,38,108,,,,0,0,,,,,,,
NO,D5,SUB_ALL,metaflye,pb,28085.930000000004,355.5799999999999,1248,29282,255.553,95923.04488810006,837921637,140.5,744090,27376.930000000004,237.46999999999994,127,252,,,,0,0,,,,,,,
NO,D5,SUB_ALL,metamdbg,ont,8918.16,179.23000000000002,521,14921,83.22,30993.852976399998,270181196,44.529999999999994,240998,8406.789999999999,72.23,30,63,,,,0,0,,,,,,,
NO,D5,SUB_ALL,metamdbg,pb,28843.139999999996,390.81,1054,33328,262.4620000000002,98389.52823439999,856118107,143.70000000000007,761690,28047.83,242.84000000000023,161,254,,,,0,0,,,,,,,
NO,H6,SUB_01G,metaflye,ont,833.2099999999999,10.479999999999999,47,78,7.779,2683.878258,23342576,3.94,22342,873.17,7.78,1,6,,,,0,0,,,,,,,
NO,H6,SUB_01G,metaflye,pb,895.99,8,32,131,7.916,2968.2864096999997,26012625,3.85,22747,873.69,7.77,3,9,,,,0,0,,,,,,,
NO,H6,SUB_01G,metamdbg,ont,92.73,0.46,10,14,0.898,298.02978060000004,1901287,0.32,1914,98.69,0.88,0,1,,,,0,0,,,,,,,
NO,H6,SUB_01G,metamdbg,pb,992.1099999999999,15.85,22,150,8.787,3319.3190466000005,30803634,4.29,26752,969.3900000000001,8.43,5,9,,,,0,0,,,,,,,
